Krisztustövis	34158	16691	38663	33474	629099	64950	90377
Indiai mangó	66920	22294	59501	77779	149653	33420	116034
Pisztácia	45443	26258	61280	62960	83389	55116	94112
Kasszia	81352	26745	87290	53612	474758	63735	80007
Kanári-sárkányfa	20146	26892	49758	59877	656269	72268	88806
Mexikói narancsvirág	25736	32064	39365	36260	714091	63158	92127
Japán sztóraxfa	32664	45199	40362	31418	97445	23327	114728
Mandulafenyõ	45779	49174	55881	65376	707683	18356	114647
Gránátalmafa	45579	53557	24937	17715	267767	34306	101847
Liliomofa	69671	58184	39174	81013	163795	44031	110779
Lángfa	60101	59340	17581	29340	418160	67553	103882
Mackaya bella	30542	67187	40240	26393	755953	25046	107971
Vadcitrom	31924	67592	67129	13801	38807	58986	96109
Molukki-vasfa	78684	70640	62014	31727	135740	88504	99745
Füge	46610	72145	12422	54449	326270	39938	110617
Kalapácscserje	64980	74718	51859	20311	326270	67535	117331
Tarajos korallfa	31721	77213	81283	14710	698475	32014	90166
Rododendron	71504	84104	71313	55294	460379	17022	95296
